src,vertex_type,dest,weight,edge_type
3,L,-12749,1,tr
-12749,R,3,1,tr
3,L,-12899,2,tr
-12899,R,3,2,tr
3,L,-13434,1,tr
-13434,R,3,1,tr
3,L,-13451,4,tr
-13451,R,3,4,tr
3,L,-13523,3,va
-13523,R,3,3,va
3,L,-14820,0,va
-14820,R,3,0,va
4,L,-98,2,tr
-98,R,4,2,tr
4,L,-130,5,te
-130,R,4,5,te
4,L,-149,5,va
-149,R,4,5,va
4,L,-372,4,te
-372,R,4,4,te
4,L,-426,4,va
-426,R,4,4,va
4,L,-1103,1,tr
-1103,R,4,1,tr
4,L,-1111,4,tr
-1111,R,4,4,tr
4,L,-1126,4,tr
-1126,R,4,4,tr
4,L,-1251,4,tr
-1251,R,4,4,tr
4,L,-1767,4,va
-1767,R,4,4,va
4,L,-1901,4,te
-1901,R,4,4,te
4,L,-1909,3,te
-1909,R,4,3,te
4,L,-2525,4,tr
-2525,R,4,4,tr
4,L,-2581,3,tr
-2581,R,4,3,tr
4,L,-2914,5,tr
-2914,R,4,5,tr
4,L,-3051,2,tr
-3051,R,4,2,tr
4,L,-3065,4,va
-3065,R,4,4,va
4,L,-3073,3,tr
-3073,R,4,3,tr
4,L,-3153,3,te
-3153,R,4,3,te
4,L,-3531,4,tr
-3531,R,4,4,tr
4,L,-3542,2,te
-3542,R,4,2,te
4,L,-3557,3,tr
-3557,R,4,3,tr
4,L,-3632,1,tr
-3632,R,4,1,tr
4,L,-4168,4,tr
-4168,R,4,4,tr
4,L,-4381,2,tr
-4381,R,4,2,tr
4,L,-4865,5,tr
-4865,R,4,5,tr
4,L,-5306,4,va
-5306,R,4,4,va
4,L,-5446,3,tr
-5446,R,4,3,tr
4,L,-5947,3,tr
-5947,R,4,3,tr
4,L,-5978,3,tr
-5978,R,4,3,tr
4,L,-6028,5,te
-6028,R,4,5,te
4,L,-6092,1,tr
-6092,R,4,1,tr
4,L,-6244,3,tr
-6244,R,4,3,tr
4,L,-6305,3,tr
-6305,R,4,3,tr
4,L,-6306,5,tr
-6306,R,4,5,tr
4,L,-6712,2,te
-6712,R,4,2,te
4,L,-6926,2,va
-6926,R,4,2,va
4,L,-7202,3,va
-7202,R,4,3,va
4,L,-7232,4,va
-7232,R,4,4,va
4,L,-7376,1,tr
-7376,R,4,1,tr
4,L,-7630,1,tr
-7630,R,4,1,tr
4,L,-7750,2,te
-7750,R,4,2,te
4,L,-8314,4,tr
-8314,R,4,4,tr
4,L,-8912,2,va
-8912,R,4,2,va
4,L,-9062,4,tr
-9062,R,4,4,tr
4,L,-9149,2,tr
-9149,R,4,2,tr
4,L,-9152,3,tr
-9152,R,4,3,tr
4,L,-9527,3,tr
-9527,R,4,3,tr
4,L,-10295,4,tr
-10295,R,4,4,tr
4,L,-10530,2,te
-10530,R,4,2,te
4,L,-10696,4,tr
-10696,R,4,4,tr
4,L,-11026,2,va
-11026,R,4,2,va
4,L,-11181,3,tr
-11181,R,4,3,tr
4,L,-11603,2,tr
-11603,R,4,2,tr
4,L,-11726,3,te
-11726,R,4,3,te
4,L,-12007,5,tr
-12007,R,4,5,tr
4,L,-12130,3,va
-12130,R,4,3,va
4,L,-12218,3,tr
-12218,R,4,3,tr
4,L,-12333,4,tr
-12333,R,4,4,tr
4,L,-12389,3,va
-12389,R,4,3,va
4,L,-12550,3,tr
-12550,R,4,3,tr
4,L,-12919,1,tr
-12919,R,4,1,tr
4,L,-12994,3,tr
-12994,R,4,3,tr
4,L,-13060,3,tr
-13060,R,4,3,tr
4,L,-13426,4,tr
-13426,R,4,4,tr
4,L,-13570,4,va
-13570,R,4,4,va
4,L,-13767,4,tr
-13767,R,4,4,tr
4,L,-13801,4,tr
-13801,R,4,4,tr
4,L,-14312,4,tr
-14312,R,4,4,tr
4,L,-14317,3,tr
-14317,R,4,3,tr
5,L,-100,5,tr
-100,R,5,5,tr
5,L,-425,2,tr
-425,R,5,2,tr
5,L,-1102,1,tr
-1102,R,5,1,tr
5,L,-1304,3,tr
-1304,R,5,3,tr
5,L,-1413,3,va
-1413,R,5,3,va
5,L,-1539,1,te
-1539,R,5,1,te
5,L,-1767,2,te
-1767,R,5,2,te
5,L,-2221,5,tr
-2221,R,5,5,tr
5,L,-2247,4,va
-2247,R,5,4,va
5,L,-2500,4,tr
-2500,R,5,4,tr
5,L,-2538,4,tr
-2538,R,5,4,tr
5,L,-2944,4,tr
-2944,R,5,4,tr
5,L,-3057,3,tr
-3057,R,5,3,tr
5,L,-3176,4,tr
-3176,R,5,4,tr
5,L,-3401,2,tr
-3401,R,5,2,tr
5,L,-3718,3,va
-3718,R,5,3,va
5,L,-3947,3,va
-3947,R,5,3,va
5,L,-4019,5,tr
-4019,R,5,5,tr
5,L,-4249,4,tr
-4249,R,5,4,tr
5,L,-4865,4,tr
-4865,R,5,4,tr
5,L,-4884,3,tr
-4884,R,5,3,tr
5,L,-5029,2,tr
-5029,R,5,2,tr
5,L,-5123,1,tr
-5123,R,5,1,tr
5,L,-5199,3,te
-5199,R,5,3,te
5,L,-5344,5,tr
-5344,R,5,5,tr
5,L,-5636,2,va
-5636,R,5,2,va
5,L,-5887,2,tr
-5887,R,5,2,tr
5,L,-6300,2,tr
-6300,R,5,2,tr
5,L,-6433,3,tr
-6433,R,5,3,tr
5,L,-6644,5,tr
-6644,R,5,5,tr
5,L,-6694,3,tr
-6694,R,5,3,tr
5,L,-7014,3,tr
-7014,R,5,3,tr
5,L,-7632,2,tr
-7632,R,5,2,tr
5,L,-8084,3,tr
-8084,R,5,3,tr
5,L,-8282,3,tr
-8282,R,5,3,tr
5,L,-8523,2,tr
-8523,R,5,2,tr
5,L,-8616,3,tr
-8616,R,5,3,tr
5,L,-9136,2,tr
-9136,R,5,2,tr
5,L,-9586,3,tr
-9586,R,5,3,tr
5,L,-9629,2,tr
-9629,R,5,2,tr
5,L,-9819,4,va
-9819,R,5,4,va
5,L,-9992,2,tr
-9992,R,5,2,tr
5,L,-10092,2,tr
-10092,R,5,2,tr
5,L,-10133,2,tr
-10133,R,5,2,tr
5,L,-10546,3,tr
-10546,R,5,3,tr
5,L,-11155,2,tr
-11155,R,5,2,tr
5,L,-11680,4,tr
-11680,R,5,4,tr
5,L,-12069,3,tr
-12069,R,5,3,tr
5,L,-12109,2,va
-12109,R,5,2,va
5,L,-12479,2,va
-12479,R,5,2,va
5,L,-12811,3,va
-12811,R,5,3,va
5,L,-13418,2,va
-13418,R,5,2,va
5,L,-13774,3,tr
-13774,R,5,3,tr
5,L,-14034,3,te
-14034,R,5,3,te
5,L,-14121,3,tr
-14121,R,5,3,tr
5,L,-14302,4,tr
-14302,R,5,4,tr
5,L,-14511,3,tr
-14511,R,5,3,tr
5,L,-14585,4,tr
-14585,R,5,4,tr
5,L,-14720,3,tr
-14720,R,5,3,tr
5,L,-14915,3,tr
-14915,R,5,3,tr
6,L,-7,4,tr
-7,R,6,4,tr
6,L,-362,5,tr
-362,R,6,5,tr
6,L,-416,3,tr
-416,R,6,3,tr
6,L,-852,4,va
-852,R,6,4,va
6,L,-1424,3,te
-1424,R,6,3,te
6,L,-2254,4,tr
-2254,R,6,4,tr
6,L,-2325,3,tr
-2325,R,6,3,tr
6,L,-2933,6,tr
-2933,R,6,6,tr
6,L,-3296,5,va
-3296,R,6,5,va
6,L,-3328,4,tr
-3328,R,6,4,tr
6,L,-3471,5,tr
-3471,R,6,5,tr
6,L,-4269,5,te
-4269,R,6,5,te
6,L,-5404,2,tr
-5404,R,6,2,tr
6,L,-5459,5,tr
-5459,R,6,5,tr
6,L,-5499,2,tr
-5499,R,6,2,tr
6,L,-5626,1,tr
-5626,R,6,1,tr
6,L,-5719,3,te
-5719,R,6,3,te
6,L,-6386,2,tr
-6386,R,6,2,tr
6,L,-6467,2,tr
-6467,R,6,2,tr
6,L,-6512,4,tr
-6512,R,6,4,tr
6,L,-6720,3,tr
-6720,R,6,3,tr
6,L,-6903,2,tr
-6903,R,6,2,tr
6,L,-7087,3,tr
-7087,R,6,3,tr
6,L,-7129,4,tr
-7129,R,6,4,tr
6,L,-7215,2,va
-7215,R,6,2,va
6,L,-7466,3,va
-7466,R,6,3,va
6,L,-7471,6,tr
-7471,R,6,6,tr
6,L,-7510,3,tr
-7510,R,6,3,tr
6,L,-7628,2,tr
-7628,R,6,2,tr
6,L,-7639,2,tr
-7639,R,6,2,tr
6,L,-7869,5,tr
-7869,R,6,5,tr
6,L,-7873,4,tr
-7873,R,6,4,tr
6,L,-8101,3,tr
-8101,R,6,3,tr
6,L,-8818,4,te
-8818,R,6,4,te
6,L,-8871,1,tr
-8871,R,6,1,tr
6,L,-8999,2,va
-8999,R,6,2,va
6,L,-9013,4,tr
-9013,R,6,4,tr
6,L,-9593,3,va
-9593,R,6,3,va
6,L,-9603,2,tr
-9603,R,6,2,tr
6,L,-9760,4,tr
-9760,R,6,4,tr
6,L,-9827,1,va
-9827,R,6,1,va
6,L,-10018,4,tr
-10018,R,6,4,tr
6,L,-10779,2,tr
-10779,R,6,2,tr
6,L,-10993,2,tr
-10993,R,6,2,tr
6,L,-11047,2,tr
-11047,R,6,2,tr
6,L,-11060,-1,tr
-11060,R,6,-1,tr
6,L,-11140,2,tr
-11140,R,6,2,tr
6,L,-11189,6,tr
-11189,R,6,6,tr
6,L,-11883,3,va
-11883,R,6,3,va
6,L,-12026,1,tr
-12026,R,6,1,tr
6,L,-12195,3,tr
-12195,R,6,3,tr
6,L,-13273,3,tr
-13273,R,6,3,tr
6,L,-13488,2,va
-13488,R,6,2,va
6,L,-13538,1,tr
-13538,R,6,1,tr
6,L,-13696,4,te
-13696,R,6,4,te
6,L,-13842,3,tr
-13842,R,6,3,tr
6,L,-14117,4,tr
-14117,R,6,4,tr
6,L,-14286,2,tr
-14286,R,6,2,tr
6,L,-14364,0,tr
-14364,R,6,0,tr
6,L,-14459,4,tr
-14459,R,6,4,tr
6,L,-14723,0,tr
-14723,R,6,0,tr
6,L,-14726,4,tr
-14726,R,6,4,tr
7,L,-73,3,te
-73,R,7,3,te
7,L,-402,4,va
-402,R,7,4,va
7,L,-499,5,tr
-499,R,7,5,tr
7,L,-518,2,tr
-518,R,7,2,tr
7,L,-979,2,tr
-979,R,7,2,tr
7,L,-1080,5,tr
-1080,R,7,5,tr
7,L,-1386,3,tr
-1386,R,7,3,tr
7,L,-2263,4,tr
-2263,R,7,4,tr
7,L,-2269,3,te
-2269,R,7,3,te
7,L,-2924,2,tr
-2924,R,7,2,tr
7,L,-2962,2,va
-2962,R,7,2,va
7,L,-3067,5,tr
-3067,R,7,5,tr
7,L,-3230,2,te
-3230,R,7,2,te
7,L,-3290,3,tr
-3290,R,7,3,tr
7,L,-3448,3,tr
-3448,R,7,3,tr
7,L,-3687,2,tr
-3687,R,7,2,tr
7,L,-3739,3,tr
-3739,R,7,3,tr
7,L,-3849,3,tr
-3849,R,7,3,tr
7,L,-4525,4,te
-4525,R,7,4,te
7,L,-4779,3,te
-4779,R,7,3,te
7,L,-5218,3,tr
-5218,R,7,3,tr
7,L,-5301,2,va
-5301,R,7,2,va
7,L,-5592,2,tr
-5592,R,7,2,tr
7,L,-6169,5,te
-6169,R,7,5,te
7,L,-6204,4,tr
-6204,R,7,4,tr
7,L,-6306,2,tr
-6306,R,7,2,tr
7,L,-7208,5,tr
-7208,R,7,5,tr
7,L,-7455,6,tr
-7455,R,7,6,tr
7,L,-7533,3,te
-7533,R,7,3,te
7,L,-7601,3,tr
-7601,R,7,3,tr
7,L,-8111,4,tr
-8111,R,7,4,tr
7,L,-8135,3,tr
-8135,R,7,3,tr
7,L,-8208,5,tr
-8208,R,7,5,tr
7,L,-8309,1,va
-8309,R,7,1,va
7,L,-8375,5,tr
-8375,R,7,5,tr
7,L,-8777,4,te
-8777,R,7,4,te
7,L,-8927,3,va
-8927,R,7,3,va
7,L,-8929,3,tr
-8929,R,7,3,tr
7,L,-9236,3,tr
-9236,R,7,3,tr
7,L,-9486,4,te
-9486,R,7,4,te
7,L,-10084,3,tr
-10084,R,7,3,tr
7,L,-10235,4,tr
-10235,R,7,4,tr
7,L,-10479,3,tr
-10479,R,7,3,tr
7,L,-10971,4,va
-10971,R,7,4,va
7,L,-11216,6,tr
-11216,R,7,6,tr
7,L,-11255,3,tr
-11255,R,7,3,tr
7,L,-11647,3,te
-11647,R,7,3,te
7,L,-11881,4,tr
-11881,R,7,4,tr
7,L,-11922,2,tr
-11922,R,7,2,tr
7,L,-11986,4,tr
-11986,R,7,4,tr
7,L,-12317,3,tr
-12317,R,7,3,tr
7,L,-12486,4,tr
-12486,R,7,4,tr
7,L,-12575,3,va
-12575,R,7,3,va
7,L,-13126,5,tr
-13126,R,7,5,tr
7,L,-13549,3,tr
-13549,R,7,3,tr
7,L,-14021,3,tr
-14021,R,7,3,tr
7,L,-14053,5,tr
-14053,R,7,5,tr
7,L,-14067,2,tr
-14067,R,7,2,tr
7,L,-14202,3,tr
-14202,R,7,3,tr
7,L,-14541,4,tr
-14541,R,7,4,tr
7,L,-14596,3,tr
-14596,R,7,3,tr
7,L,-14721,4,tr
-14721,R,7,4,tr
8,L,-360,5,tr
-360,R,8,5,tr
8,L,-658,3,tr
-658,R,8,3,tr
8,L,-792,4,va
-792,R,8,4,va
8,L,-802,1,te
-802,R,8,1,te
8,L,-907,3,tr
-907,R,8,3,tr
8,L,-1035,4,va
-1035,R,8,4,va
8,L,-1126,5,va
-1126,R,8,5,va
8,L,-1199,5,tr
-1199,R,8,5,tr
8,L,-1247,2,tr
-1247,R,8,2,tr
8,L,-1390,4,tr
-1390,R,8,4,tr
8,L,-1605,3,te
-1605,R,8,3,te
8,L,-1974,5,tr
-1974,R,8,5,tr
8,L,-2052,4,tr
-2052,R,8,4,tr
8,L,-2133,4,tr
-2133,R,8,4,tr
8,L,-2318,3,va
-2318,R,8,3,va
8,L,-2490,5,tr
-2490,R,8,5,tr
8,L,-2649,4,tr
-2649,R,8,4,tr
8,L,-2811,3,tr
-2811,R,8,3,tr
8,L,-2838,2,te
-2838,R,8,2,te
8,L,-3129,4,tr
-3129,R,8,4,tr
8,L,-3239,4,tr
-3239,R,8,4,tr
8,L,-3286,3,tr
-3286,R,8,3,tr
8,L,-3518,4,tr
-3518,R,8,4,tr
8,L,-3680,3,tr
-3680,R,8,3,tr
8,L,-5004,2,va
-5004,R,8,2,va
8,L,-5030,4,tr
-5030,R,8,4,tr
8,L,-5095,2,tr
-5095,R,8,2,tr
8,L,-5281,3,tr
-5281,R,8,3,tr
8,L,-5300,3,tr
-5300,R,8,3,tr
8,L,-5349,4,te
-5349,R,8,4,te
8,L,-5593,3,tr
-5593,R,8,3,tr
8,L,-6150,4,va
-6150,R,8,4,va
8,L,-6486,4,tr
-6486,R,8,4,tr
8,L,-6736,2,tr
-6736,R,8,2,tr
8,L,-6740,4,va
-6740,R,8,4,va
8,L,-7204,3,te
-7204,R,8,3,te
8,L,-7477,4,tr
-7477,R,8,4,tr
8,L,-7752,4,tr
-7752,R,8,4,tr
8,L,-7901,3,tr
-7901,R,8,3,tr
8,L,-8187,5,va
-8187,R,8,5,va
8,L,-8429,3,te
-8429,R,8,3,te
8,L,-8668,2,tr
-8668,R,8,2,tr
8,L,-8957,4,tr
-8957,R,8,4,tr
8,L,-9016,3,va
-9016,R,8,3,va
8,L,-9424,4,tr
-9424,R,8,4,tr
8,L,-9516,3,tr
-9516,R,8,3,tr
8,L,-9582,2,tr
-9582,R,8,2,tr
8,L,-9585,2,tr
-9585,R,8,2,tr
8,L,-10219,4,tr
-10219,R,8,4,tr
8,L,-10718,2,tr
-10718,R,8,2,tr
8,L,-10745,2,tr
-10745,R,8,2,tr
8,L,-10763,5,tr
-10763,R,8,5,tr
8,L,-10981,2,tr
-10981,R,8,2,tr
8,L,-11844,4,te
-11844,R,8,4,te
8,L,-11969,2,tr
-11969,R,8,2,tr
8,L,-12030,3,tr
-12030,R,8,3,tr
8,L,-12298,5,tr
-12298,R,8,5,tr
8,L,-13541,4,tr
-13541,R,8,4,tr
8,L,-13591,3,tr
-13591,R,8,3,tr
8,L,-14621,3,tr
-14621,R,8,3,tr
8,L,-14799,3,tr
-14799,R,8,3,tr
9,L,-201,2,va
-201,R,9,2,va
9,L,-322,3,tr
-322,R,9,3,tr
9,L,-1070,2,te
-1070,R,9,2,te
9,L,-1087,2,tr
-1087,R,9,2,tr
9,L,-3307,2,va
-3307,R,9,2,va
9,L,-3314,3,tr
-3314,R,9,3,tr
9,L,-3541,4,tr
-3541,R,9,4,tr
9,L,-3560,3,va
-3560,R,9,3,va
9,L,-4218,3,tr
-4218,R,9,3,tr
9,L,-4653,3,tr
-4653,R,9,3,tr
9,L,-5102,2,tr
-5102,R,9,2,tr
9,L,-5370,3,tr
-5370,R,9,3,tr
9,L,-5444,4,tr
-5444,R,9,4,tr
9,L,-5522,3,tr
-5522,R,9,3,tr
9,L,-5938,4,tr
-5938,R,9,4,tr
9,L,-6535,4,tr
-6535,R,9,4,tr
9,L,-6761,2,tr
-6761,R,9,2,tr
9,L,-7228,3,tr
-7228,R,9,3,tr
9,L,-7229,4,tr
-7229,R,9,4,tr
9,L,-7497,4,tr
-7497,R,9,4,tr
9,L,-7649,4,tr
-7649,R,9,4,tr
9,L,-7814,2,tr
-7814,R,9,2,tr
9,L,-7815,3,tr
-7815,R,9,3,tr
9,L,-7848,5,tr
-7848,R,9,5,tr
9,L,-8314,2,va
-8314,R,9,2,va
9,L,-8491,2,va
-8491,R,9,2,va
9,L,-8596,3,va
-8596,R,9,3,va
9,L,-8915,3,tr
-8915,R,9,3,tr
9,L,-9081,2,tr
-9081,R,9,2,tr
9,L,-9282,3,va
-9282,R,9,3,va
9,L,-9326,2,tr
-9326,R,9,2,tr
9,L,-9817,4,va
-9817,R,9,4,va
9,L,-9881,3,tr
-9881,R,9,3,tr
9,L,-9970,2,tr
-9970,R,9,2,tr
9,L,-10232,2,tr
-10232,R,9,2,tr
9,L,-10271,2,tr
-10271,R,9,2,tr
9,L,-10477,3,va
-10477,R,9,3,va
9,L,-10681,3,va
-10681,R,9,3,va
9,L,-10997,5,tr
-10997,R,9,5,tr
9,L,-11254,3,va
-11254,R,9,3,va
9,L,-11337,2,te
-11337,R,9,2,te
9,L,-11474,2,va
-11474,R,9,2,va
9,L,-11900,2,tr
-11900,R,9,2,tr
9,L,-11943,2,tr
-11943,R,9,2,tr
9,L,-12076,3,tr
-12076,R,9,3,tr
9,L,-12487,3,tr
-12487,R,9,3,tr
9,L,-12580,4,tr
-12580,R,9,4,tr
9,L,-12994,2,tr
-12994,R,9,2,tr
9,L,-13083,2,tr
-13083,R,9,2,tr
9,L,-13127,2,tr
-13127,R,9,2,tr
9,L,-13580,1,tr
-13580,R,9,1,tr
9,L,-13619,3,tr
-13619,R,9,3,tr
9,L,-13917,2,tr
-13917,R,9,2,tr
9,L,-14145,2,va
-14145,R,9,2,va
9,L,-14374,1,va
-14374,R,9,1,va
9,L,-14785,3,tr
-14785,R,9,3,tr
10,L,-308,2,tr
-308,R,10,2,tr
10,L,-547,4,va
-547,R,10,4,va
10,L,-843,2,tr
-843,R,10,2,tr
10,L,-1360,1,tr
-1360,R,10,1,tr
10,L,-1688,3,tr
-1688,R,10,3,tr
10,L,-1729,3,tr
-1729,R,10,3,tr
10,L,-2612,1,tr
-2612,R,10,1,tr
10,L,-2731,4,tr
-2731,R,10,4,tr
10,L,-2907,1,va
-2907,R,10,1,va
10,L,-3096,3,tr
-3096,R,10,3,tr
10,L,-3131,3,tr
-3131,R,10,3,tr
10,L,-3250,3,va
-3250,R,10,3,va
10,L,-3311,4,tr
-3311,R,10,4,tr
10,L,-3417,4,tr
-3417,R,10,4,tr
10,L,-3797,3,tr
-3797,R,10,3,tr
10,L,-4271,3,tr
-4271,R,10,3,tr
10,L,-4572,3,tr
-4572,R,10,3,tr
